taxon,diel,tox,unpal,needs_note,note
Ceratosoma_brevicaudatum,1,weak,none,1,*Assays not conclusive in Winters et al. 2022
Hypselodoris_bennetti,1,high,medium,,
Goniobranchus_collingwoodi,1,none,high,,
Hypselodoris_obscura,1,medium,none,1,*Assays not conclusive in Winters et al. 2022
Dendrodoris_fumata,1,,,,
Polycera_capensis,1,,,,
Discodoris_sp,0,none,none,,
Phyllodesmium_poindimiei,1,,,,
Doriprismatica_atromarginata,1,high,high,,
Aphelodoris_varia,1,none,none,,
Berthelina_citrina,1,,,,
Goniobranchus_geometricus,1,,,,
Caloria_indica,1,,,,
Pleurobranchus_peroni,1,,,,
Ceratosoma_tenue,1,,,,
Goniobranchus_splendidus,1,none,high,,
Ceratosoma_amoenum,1,,,,
Nembrotha_purpureolineata,1,,,,
Plocamopherus_imperialis,0,,,,
Marionia_sp,0,,,,
Goniobranchus_alius,1,,,,
Hypselodoris_tryoni,1,,,,
Hypselodoris_jacksoni,1,,,,
Pteraeolidia_ianthina,1,,,,
Dendrodoris_krusensterni,1,none,none,,
Glossodoris_angasi,1,,,,
Thecacera_pennigera,0,,,,
Doris_cameroni,1,,,,
Chromodoris_cf_striatella,0,,,,
Kaloplocamus_ramosus,0,,,,
Atagema_spongiosa,1,,,,
Plocamopherus_tilesii,1,,,,
Goniobranchus_albonares,1,,,,
Goniobranchus_daphne,1,,,,
Tenellia_sibogae,1,,,,
Rostanga_sp,0,,,,
Atagema_intecta,0,,,,
Doriopsilla_peculiaris,0,,,,
Coryphellina_rubrolineata,1,,,,
Dermatobranchus_dendronephtyphagus,1,,,,
Kaloplocamus_acutus,0,,,,
Goniobranchus_sp,1,none,high,1,"Same as Collingwoodi, as these species are not distinguished"
Onchidoris_sp,0,,,,
Doriopsilla_miniata,0,,,,
Cratena_lineata,1,,,,
